"from","to","hiking_time_to","hiking_time_back"
418,445,259335,258372
419,432,256830,256039
419,433,255060,256586
419,446,242283,242932
420,433,256033,256848
420,434,256409,257036
420,447,242652,243233
421,434,256729,256383
421,435,258921,258777
421,448,254731,255225
422,435,258332,258450
422,436,261451,263753
422,449,250046,251684
423,436,257542,257930
423,437,266753,265521
423,450,261840,263252
424,437,271609,272066
424,438,267918,267343
424,451,260833,262492
425,438,264016,262434
425,439,256011,256638
425,452,261556,261768
426,440,255319,255252
427,440,260886,262606
427,441,270585,269556
427,453,257041,258670
428,441,267696,265462
428,442,275409,272055
428,454,277968,274507
429,442,278099,274934
429,443,258164,257559
429,455,263181,260290
430,443,256406,256080
430,444,256069,256185
430,456,240924,241679
431,444,257592,258802
431,445,260366,261460
431,457,248845,249128
432,445,258328,259076
432,446,255826,257515
432,458,243039,244410
433,446,256298,255508
433,447,255992,255799
433,459,240236,240091
434,447,256240,256211
434,448,257898,258580
434,460,247739,248057
435,448,259956,259984
435,449,257410,258607
435,461,259240,260011
436,449,257985,257959
436,450,257130,258044
436,462,248166,248833
437,450,266909,269439
437,451,270007,270220
437,463,279390,280915
438,451,259424,260535
438,452,264958,266823
438,464,264572,266251
439,452,255755,255553
440,453,255403,255447
441,453,263567,266346
441,454,278192,275805
441,465,287472,282894
442,454,268964,267506
442,455,266786,267379
442,466,267602,266088
443,455,263398,261507
443,456,255935,257183
443,467,245210,244231
444,456,255641,256373
444,457,257534,255419
444,468,244157,243269
445,457,259319,258948
445,458,257811,258513
445,469,258347,256000
446,458,255551,256430
446,459,255646,256319
446,470,240173,240753
447,459,256053,256129
447,460,257003,256512
447,471,243516,243920
448,460,261774,260406
448,461,260266,260495
448,472,253923,254585
449,461,256911,256318
449,462,256215,256866
449,473,252640,252417
450,462,259001,259158
450,463,265134,265211
450,474,243312,243931
451,463,259666,260180
451,464,259798,260817
451,475,253420,255063
452,464,261534,261023
452,476,238622,238824
453,465,268728,262837
454,465,271144,268723
454,466,264310,264123
454,477,276524,277252
455,466,268063,265678
455,467,269606,272535
455,478,279838,276878
456,467,257619,256074
456,468,257037,255496
456,479,243554,242786
457,468,255693,257052
457,469,257590,256953
457,480,244989,243966
458,469,258598,255861
458,470,255547,255859
458,481,246135,243571
